סבידור מרכז <--> צפריר,,,,,,,,,,,,,,משמרות ,,,,,
הלוך,,,חזור ,,,,משמרת בוקר,,,משמרת ערב ,,,,משמרות יובל ,,,משמרות הדסה,,
יציאה מסבידור ,צומת סירקין ,הגעה לצפריר ,יציאה מצפריר ,הגעה לסבידור ,,,,ויזות,הפסקות ,,ויזות,הפסקות,,,הגעה,חזרה   ,,הגעה ,חזרה
7:00,7:45,8:00,8:15,9:15,,,שאטל 1 ,7:00-19:00,"2.5 שעות מנוחה, על 9.5 שעות עבודה ",שאטל 5,11:00-23:00,4.5 שעות מנוחה על ויזה של 12 שעות ,,8:00,סבידור/ קרית אריה ,סבידור /קרית אריה,7:00,קרית אריה,קרית אריה 
8:00,8:45,9:00,9:15,10:15,,,שאטל 2,8:00-20:00,"4.5 שעות, על 12 שעות עבודה",שאטל 6,15:30-23:59,1.5 שעות על 8 שעות עבודה,,14:00,קרית אריה ,קרית אריה ,15:00,סבידור /קרית אריה,מקרית אריה/ מסבידור
9:30,10:15,10:30,10:45,11:30,,,שאטל 3,6:30-13:00,4.5 שעות נסיעה ללא הפסקות,שאטל 7,16:00-23:59,1.5 שעות על 7 שעות עבודה,,15:00,סבידור /קרית אריה, מקרית אריה/ מסבידור,23:00,סבידור/ קרית אריה , קרית אריה/ סבידור
,,,,,,,שאטל 4 ,7:00-13:00,"0.5 שעה הפסקה, על 5.5 שעות עבודה",,,,,20:00,סבידור/ קרית אריה ,סבידור ,,,
14:00,14:45,15:00,15:30,16:15,,,,,,,,,,22:00,סבידור,סבידור/ קרית אריה ,,,
16:40,17:15,17:45,18:30,19:10,,,,,,,,,,,,,,,
19:15,19:50,20:00,20:00,20:40,,,,,,,,,,,,,,,
20:40,,21:20,22:15,23:00,,,,,,,,,,,,,,,
22:00,,22:45,23:15,23:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
קרית אריה <--> צפריר,,,,,,,,,,,,,,,,,,,
יציאה מקרית אריה ,יציאה מצפריר,,,,,,,,,,,,,,,,,,
6:30,7:00,,,,,,,,,,,,,,,,,,
7:00,7:30,,,,,,כללי:,,,,,,,,,,,,
7:30,8:00,,,,,,אין נסיעות בכלל בין השעות 12:30-13:30,,,,,,,,,,,,
8:00,8:30,,,,,,,,,,,,,,,,,,
8:30,9:00,,,,,,,,,,,,,,,,,,
9:00,9:30,,,,,,,,,,,,,,,,,,
9:30,10:00,,,,,,,,,,,,,,,,,,
10:00,10:30,,,,,,,,,,,,,,,,,,
10:30,11:00,,,,,,,,,,,,,,,,,,
11:00,,,,,,,אופציה פחות טובה ,,,,,,,,,,,,
,,,,,,,13:30,14:15,,,,,,,,,,,
,,,,,,,14:45,15:20,,,,,,,,,,,
12:30-13:30 הפסקה,,,,,,,16:00,16:30,הזמנות,שעות,מיקום פתיחת ויזה ,מועדות,מיקום סגירת ויזה ,,,,,,
13:30,14:15,,,,,,16:30,17:00,שאטל 1 ,7:00-19:00,יעקב דורי 2,כל הארץ,יעקב דורי 2,,,,,,
14:45,15:20,,,,,,17:00,17:30,שאטל 2,8:00-20:00,יעקב דורי 2,כל הארץ,מחנה סירקין,,,,,,
16:00,16:30,,,,,,17:30,18:00,שאטל 3,6:30-13:00,רכבת קרית אריה ,כל הארץ,רכבת קרית אריה,,,,,,
16:30,17:00,,,,,,18:00,18:30,שאטל 4,7:00-13:00,רכבת קרית אריה ,כל הארץ,רכבת קרית אריה,,,,,,
17:00,17:30,,,,,,18:30,19:00,שאטל 5,11:00-23:00,רכבת קרית אריה ,כל הארץ,יעקב דורי 2,,,,,,
17:30,18:00,,,,,,19:00,19:30,שאטל 6,15:30-23:59,רכבת קרית אריה ,כל הארץ,יעקב דורי 2,,,,,,
18:00,18:30,,,,,,19:30,20:00,שאטל 7,16:00-23:59,רכבת קרית אריה ,כל הארץ,רכבת קרית אריה,,,,,,
18:30,19:00,,,,,,20:00,20:30,,,,,,,,,,,
19:00,19:30,,,,,,20:30,21:00,,,,,,,,,,,
19:30,,,,,,,21:30,22:00,,,,,,,,,,,
20:00,20:30,,,,,,22:30,23:00,,,,,,,,,,,
,21:00,,,,,,,,,,,,,,,,,,
21:30,22:00,,,,,,,,,,,,,,,,,,
22:30,23:00,,,,,,,,,,,,,,,,,,